Loc ID,LOCATION,SIG_TYPE,YEAR,CNT_DATE,HOURS,NB_SB_ST,EB_WB_ST,COUNCIL_DISTRICT,PED_VALUE,VEH_VALUE,SB_VALUE,WB_VALUE,NB_VALUE,EB_VALUE,X_COORDINATES,Y_COORDINATES
451,NE Barry & N Troost,TS,2018,09/25/2018 12:00:00 AM,5,N TROOST AVE,NE BARRY RD,CD1,9,4471,0,1554,937,1980,2769834.54,1121386.36
453,Newton & 87th,TS,2018,04/11/2018 12:00:00 AM,12,NEWTON AVE,E 87TH ST,CD5,48,12270,245,6744,587,4694,2785653.91,1019648.99
456,NW Ambassador Dr & NW 112th,TS,2017,05/16/2017 12:00:00 AM,5,N AMBASSADOR DR,NW 112TH ST,CD2,18,4608,1059,754,705,2090,2737285.77,1139737.42
457,NW Barry Road & Waukomis,TS,2017,03/07/2017 12:00:00 AM,5,NW WAUKOMIS DR,NW BARRY RD,CD2,31,5488,215,1666,507,3100,2748215.51,1121530.52
458,NW Barry & N Barrybrooke Dr,TS,2018,11/13/2018 12:00:00 AM,12,NW BARRYBROOKE DR / N AMBASSADOR,NW BARRY RD,CD2,16,24439,4995,7117,1485,10842,2745853.31,1121580.67
459,NW Barry & N Broadway,TS,2018,08/21/2018 12:00:00 AM,5,N BROADWAY AVE,NW BARRY RD,CD2,2,6308,0,2352,774,3182,2764619.65,1121386.44
460,NW Barry & N Congress,TS,2019,09/10/2019 12:00:00 AM,12,N CONGRESS AVE,NW BARRY RD,CD2,119,17613,3977,8123,2103,3410,2741038.53,1121623.97
461,NW Barry & N Green Hills/AA,TS,2018,06/12/2018 12:00:00 AM,5,N GREEN HILLS RD,NW BARRY RD,CD2,13,9037,2160,2290,1833,2754,2751601.57,1121513.91
462,NW Barry & N Hickory,TS,2017,03/14/2017 12:00:00 AM,12,N HICKORY ST,NW BARRY RD,CD2,27,10661,25,4223,1243,5170,2760830.08,1121385.08
463,NW Barry & N Jefferson (700 NW),TS,2017,11/08/2017 12:00:00 AM,5,N JEFFERSON ST,NW BARRY RD,CD2,6,5641,319,2896,234,2192,2763947.56,1121439.64
464,NW Barry & N Madison/Thomas Meyers Dr,TS,2017,10/31/2017 12:00:00 AM,5,N MADISON AVE,NW BARRY RD,CD2,6,8316,813,3919,166,3418,2761892.65,1121455.67
465,NW Barry & N Mercier,TS,2018,10/16/2018 12:00:00 AM,12,N MERCIER AVE,NW BARRY RD,CD2,6,5855,118,2654,469,2614,2761330.85,1121386.59
466,NW Barry & N Platte Purchase Dr,TS,2016,02/02/2016 12:00:00 AM,5,N PLATTE PURCHASE DR,NW BARRY RD,CD2,13,7747,1504,2759,803,2681,2760115.08,1121387.52
467,NW Barry & N Roanridge,TS,2018,06/12/2018 12:00:00 AM,12,N BOARDWALK AVE/ NW ROANRIDGE RD,NW BARRY RD,CD2,30,34078,4507,12396,2960,14215,2744792.07,1121632.6
468,NW Barry & N St Clair,TS,2017,02/21/2017 12:00:00 AM,12,N ST CLAIR AVE,NW BARRY RD,CD2,49,20790,1811,5703,3485,9791,2747037.89,1121560.18
469,NW Barry & N Wyandotte,TS,2019,05/28/2019 12:00:00 AM,12,N WYANDOTTE ST,NW BARRY RD,CD2,13,13313,930,5113,377,6893,2765101.33,1121384.87
474,Oak & 10th,TS-CBD,2018,08/02/2018 12:00:00 AM,5,OAK ST,E 10TH ST,CD4,204,6035,2864,0,827,2344,2766454.28,1068877.88
475,Oak & 11th,TS-CBD,2018,01/17/2018 12:00:00 AM,5,OAK ST,E 11TH ST (ONE-WAY WB),CD4,827,4686,2008,1830,847,1,2766439.54,1068431.28
476,Oak & 12th,TS-CBD,2020,01/23/2020 12:00:00 AM,5,OAK ST,E 12TH ST,CD4,971,2971,1364,0,782,825,2766421.09,1068000.75
477,Oak & 13th,TS-CBD,2017,08/31/2017 12:00:00 AM,5,OAK ST,E 13TH ST,CD4,169,3054,1155,703,1196,0,2766400.43,1067523.57
479,Oak & 18th,TS,2017,01/11/2017 12:00:00 AM,12,OAK ST,E 18TH ST,CD4,396,8240,3224,1811,2093,1112,2766301.13,1065038.12
480,Oak & 19th,TS,2017,05/24/2017 12:00:00 AM,12,OAK ST,E 19TH ST,CD4,248,8913,3277,1666,2337,1633,2766282.18,1064552.98
481,Oak & 55th & Crestwood Dr,TS,2019,09/19/2019 12:00:00 AM,12,OAK ST,E 55TH ST,CD4,286,6763,2033,1534,1419,1673,2765109.4,1041685.37
483,Oak & 63rd,TS,2016,12/07/2016 12:00:00 AM,12,OAK ST,E 63RD ST,CD6,103,10994,1593,3888,1641,3872,2764898.99,1036644.43
484,Oak & 75th,TS,2016,12/28/2016 12:00:00 AM,12,OAK ST,E 75TH ST,CD6,91,8621,755,4020,406,3440,2764569.82,1028734.53
485,Oak & 8th,TS-CBD,2019,11/21/2019 12:00:00 AM,12,OAK ST (ONE WAY - SB),E 8TH ST (ONE WAY- EB),CD4,236,5120,3214,0,0,1906,2766494.07,1069665.32
486,Oak & 9th,TS-CBD,2018,12/11/2018 12:00:00 AM,12,OAK ST,E 9TH ST,CD4,1008,5492,4366,1068,58,0,2766468.46,1069328.67
487,Oak & Truman N Dr,TS-CBD,2018,02/15/2018 12:00:00 AM,5,OAK ST,E TRUMAN RD (ND),CD4,86,4671,1628,1492,1551,0,2766364.95,1066652.61
488,Oak & Truman S Dr,TS-CBD,2018,10/24/2018 12:00:00 AM,5,OAK ST,E TRUMAN RD (SD),CD4,64,4686,2251,0,1122,1313,2766357.96,1066478.57
489,Oak & Volker,TS,2019,08/22/2019 12:00:00 AM,5,OAK ST,VOLKER BLVD,CD4,150,9706,1408,4171,1173,2954,2765281.96,1045753.67
491,Paseo & 11th,TS,2017,05/24/2017 12:00:00 AM,12,PASEO BLVD,E 11TH ST,CD3,137,7843,3334,1528,2981,0,2770621.15,1068255.19
492,Paseo & 12th,TS,2018,05/24/2018 12:00:00 AM,12,PASEO BLVD,E 12TH ST,CD3,72,8120,2947,0,3870,1303,2770592.32,1067815.84
493,Paseo & 18th,TS,2019,07/09/2019 12:00:00 AM,12,PASEO BLVD,E 18TH ST,CD3,127,9633,4185,1359,3114,975,2770415.88,1064884.4
495,Paseo & 25th,TS,2018,07/11/2018 12:00:00 AM,12,PASEO BLVD,E 25TH ST,CD3,63,4861,2546,317,1587,411,2769957.21,1061227.26
496,Paseo & 27th,TS,2018,05/03/2018 12:00:00 AM,12,PASEO BLVD,E 27TH ST,CD3,35,9030,1724,2576,1890,2840,2770188.07,1059901.27
497,Paseo & 31st,TS,2017,01/17/2017 12:00:00 AM,12,PASEO BLVD,E 31ST ST,CD3,33,7297,1402,2470,948,2477,2769735.2,1057281.21
499,Paseo & 39th,TS,2019,06/20/2019 12:00:00 AM,12,PASEO BLVD,E 39TH ST,CD3,135,15546,2413,5366,2782,4985,2769544.65,1052027.6
502,Paseo & 55th,TS,2017,08/16/2017 12:00:00 AM,12,PASEO BLVD,E 55TH ST,CD5,223,9661,3793,1344,3436,1088,2769469.79,1041490.15
503,Paseo & 59th,TS,2018,04/18/2018 12:00:00 AM,12,PASEO BLVD,E 59TH ST,CD5,87,9835,3865,1640,2970,1360,2768958.27,1038870.87
504,Paseo & 63rd & Meyer Blvd,TS,2017,01/31/2017 12:00:00 AM,12,PASEO BLVD,E 63RD ST,CD5,191,16560,4126,5170,1739,5525,2768753.7,1036427.98
505,Paseo & 75th,TS,2017,08/01/2017 12:00:00 AM,12,PASEO BLVD,E 75TH ST,CD5,53,11484,1795,3645,1087,4957,2769873.25,1028447.55
508,Paseo & Admiral,TS,2017,01/19/2017 12:00:00 AM,12,PASEO BLVD,ADMIRAL BLVD,CD3,231,9255,2344,1168,3465,2278,2770635.48,1070010.44
508,Paseo & Admiral,TS,2020,03/11/2020 12:00:00 AM,12,PASEO BLVD,ADMIRAL BLVD,CD3,231,12455,3862,1556,4219,2818,2770635.48,1070010.44
509,Paseo & Swope Pkwy/Volker,TS,2019,10/30/2019 12:00:00 AM,5,PASEO BLVD,SWOPE PKWY / VOLKER BLVD,CD3&4&5,22,12491,2220,4432,2320,3519,2769282.45,1046178.76
510,Paseo & Truman,TS,2017,02/15/2017 12:00:00 AM,12,PASEO BLVD,E TRUMAN RD,CD3,219,16875,3755,3749,4438,4933,2770459.34,1066303.41
511,Paseo/Woodland & 85th,TS,2019,01/22/2019 12:00:00 AM,12,PASEO / WOODLAND AVE,E 85TH ST,CD5,102,6910,1144,2705,222,2839,2769551.72,1021853.48
512,Pennsylvania & 12th,TS,2017,09/14/2017 12:00:00 AM,12,PENNSYLVANIA AVE,W 12TH ST,CD4,198,6946,1219,2466,0,3261,2762830.42,1068168.04
513,Pennsylvania & W Pennway (21st),TS,2018,02/13/2018 12:00:00 AM,12,PENNSYLVANIA AVE,WEST PENNWAY ST (ED),CD4,29,8183,625,3790,313,3455,2762768.17,1063522.72
515,Pershing & W Pennway,TS,2019,09/19/2019 12:00:00 AM,12,WEST PENNWAY,W PERSHING RD,CD4,17,16033,6596,4705,4732,0,2762728.97,1062053.21
518,Prospect & 12th,TS,2019,04/25/2019 12:00:00 AM,12,PROSPECT AVE,E 12TH ST,CD3,208,10683,3214,1918,4140,1411,2774117.71,1067661.09
519,Prospect & 18th,TS,2017,12/11/2017 12:00:00 AM,12,PROSPECT AVE,E 18TH ST,CD3,268,7738,2510,1873,1829,1526,2774002.9,1064732.61
520,Prospect & 27th,TS,2019,02/26/2019 12:00:00 AM,12,PROSPECT AVE,E 27TH ST,CD3,265,8263,1636,2028,2197,2402,2773810.19,1059738.28
521,Prospect & 31st,TS,2017,03/21/2017 12:00:00 AM,12,PROSPECT AVE,E 31ST ST,CD3,1077,12986,2732,3471,3026,3757,2773705,1057106.05
522,Prospect & 35th,TS,2019,10/02/2019 12:00:00 AM,12,PROSPECT AVE,E 35TH ST,CD3,806,7174,3350,1215,1908,701,2773601.86,1054469.38
523,Prospect & 39th,TS,2019,12/19/2019 12:00:00 AM,12,PROSPECT AVE,E 39TH ST,CD3,584,10186,2487,2476,2113,3110,2773490.57,1051853.62
524,Prospect & 41st,TS,2018,10/10/2018 12:00:00 AM,12,PROSPECT AVE,E 41ST ST,CD3,233,5417,2694,238,2291,194,2773436.64,1050541.89
525,Prospect & 43rd,TS,2017,04/19/2017 12:00:00 AM,5,PROSPECT AVE,E 43RD ST,CD3,39,3831,1566,514,1345,406,2773381.9,1049231.54
526,Prospect & 45th,TS,2019,10/17/2019 12:00:00 AM,12,PROSPECT AVE,E 45TH ST,CD3,91,5168,2957,221,1917,73,2773326.1,1047906.66
527,Prospect & 51st,TS,2018,04/11/2018 12:00:00 AM,5,PROSPECT AVE,E 51ST ST,CD5,37,4660,1763,650,1787,460,2773160.76,1043955.73
528,Prospect & 55th,TS,2019,09/18/2019 12:00:00 AM,12,PROSPECT AVE,E 55TH ST,CD5,183,8572,3383,1617,2524,1048,2773036.57,1041324.86
529,Prospect & 59th,TS,2019,09/19/2019 12:00:00 AM,12,PROSPECT AVE,E 59TH ST,CD5,64,8394,2726,2249,2428,991,2772867.52,1038692.57
530,Prospect & 63rd,TS,2017,03/09/2017 12:00:00 AM,5,PROSPECT AVE,E 63RD ST,CD5,173,13496,2227,4104,2454,4711,2772751.31,1036209.49
531,Prospect & 75th,TS,2020,01/23/2020 12:00:00 AM,12,PROSPECT AVE,E 75TH ST,CD5,228,12706,1893,4249,2074,4490,2772427.99,1028271.02
533,Prospect & 9th,TS,2018,10/11/2018 12:00:00 AM,12,PROSPECT AVE,E 9TH ST,CD3,195,8930,2636,1486,2715,2093,2774175.15,1068980.77
534,Prospect & Swope Pkwy,TS,2019,03/06/2019 12:00:00 AM,5,PROSPECT AVE,SWOPE PKWY,CD3,106,9130,1190,3497,1515,2928,2773237.89,1045817.74
535,Prospect & Truman,TS,2020,03/11/2020 12:00:00 AM,5,PROSPECT AVE,E TRUMAN RD,CD3,85,6267,1541,2259,744,1723,2774058.72,1066137.67
536,Raytown & 109th,TS,2018,05/02/2018 12:00:00 AM,12,RAYTOWN RD,E 109TH ST,CD6,11,14966,3388,5953,3310,2315,2795710.43,1003305.16
537,Raytown & 47th,TS,2018,11/06/2018 12:00:00 AM,12,RAYTOWN RD,E 47TH ST,CD3,11,13256,6814,2973,3469,0,2796133.14,1044233.88
538,Raytown & Longview,TS,2015,10/22/2015 12:00:00 AM,5,RAYTOWN RD,LONGVIEW RD,CD6,6,2830,1610,116,704,400,2793916.59,1001027.47
539,Red Bridge & State Line,TS,2019,02/19/2019 12:00:00 AM,5,STATE LINE RD,W RED BRIDGE RD,CD6,3,16871,5486,1536,5445,4404,2757978.38,1005926.62
540,Red Bridge & Wornall,TS,2018,10/11/2018 12:00:00 AM,12,WORNALL RD,W RED BRIDGE RD,CD6,10,16534,5397,4264,3836,3037,2762389.84,1004867.02
541,Roanoke & 31st,TS,2019,05/09/2019 12:00:00 AM,12,ROANOKE RD,W 31ST ST,CD4,33,11535,655,3822,1580,5478,2758699.2,1057814.31
542,Roanoke & 39th,TS,2019,01/09/2019 12:00:00 AM,12,ROANOKE RD,W 39TH ST,CD4,187,9488,537,4542,646,3763,2760258.73,1052463.52
543,Roanoke & 48th,TS,2019,10/30/2019 12:00:00 AM,5,ROANOKE PKWY,W 48TH ST,CD4,132,6691,0,232,5855,604,2761049.9,1046487.32
544,Roanoke & Ward Pkwy (N Dr),TS-PLZ,2019,10/30/2019 12:00:00 AM,5,ROANOKE PKWY (ONE-WAY NB),WARD PKWY (ND),CD4,95,11716,0,5222,6181,313,2761031.71,1046079.89
545,Roanoke & Westport,TS,2017,03/01/2017 12:00:00 AM,12,ROANOKE PKWY,WESTPORT RD,CD4,112,18112,0,6436,2649,9027,2759564.1,1049889.12
547,Rockhill & 47th/Brush Creek,TS,2019,10/31/2019 12:00:00 AM,5,ROCKHILL RD,EMANUEL CLEAVER II BLVD,CD4,110,11224,1992,3879,1702,3651,2766357.19,1046938.8
549,Rockhill & 51st,TS,2019,10/31/2019 12:00:00 AM,5,ROCKHILL RD,E 51ST ST,CD4,287,4409,1722,247,2178,262,2767210.41,1044239.02
550,Rockhill & 52nd,TS,2019,08/08/2019 12:00:00 AM,12,ROCKHILL RD,E 52ND ST,CD4,150,5604,2695,455,2454,0,2767182.27,1043578.86
551,Rockhill & 53rd,TS,2019,10/30/2019 12:00:00 AM,5,ROCKHILL RD,E 53RD ST,CD4,81,5649,2146,3,2531,969,2767148.88,1042919.29
552,Rockhill & 55th,TS,2019,07/16/2019 12:00:00 AM,12,ROCKHILL RD,E 55TH ST,CD4,72,7200,2980,942,2540,738,2767084.66,1041593.98
